OrderID,CustomerID,OrderDate,Status,TotalAmount,SKU,quantity
O20250025,CUST0029,2025-04-11,Open,12.99,PURE-LEMONGRASS-10ML,1
O20250026,CUST0030,2025-04-11,Open,38.97,PURE-LEMONGRASS-10ML,3
O20250027,CUST0031,2025-04-11,Open,13.75,PURE-PEPPERMINT-15ML,1
O20250028,CUST0032,2025-04-11,Open,10.99,PURE-CEDARWOOD-10ML,1
O20250029,CUST0033,2025-04-11,Open,14.99,PURE-LAVENDER-15ML,1
O20250030,CUST0034,2025-04-11,Open,36.75,PURE-ROSEMARY-10ML,3
O20250031,CUST0035,2025-04-11,Open,29.98,PURE-LAVENDER-15ML,2
O20250032,CUST0036,2025-04-11,Open,34.47,PURE-EUCALYPTUS-10ML,3
O20250033,CUST0037,2025-04-11,Open,12.25,PURE-ROSEMARY-10ML,1
O20250034,CUST0038,2025-04-11,Open,25.98,PURE-LEMONGRASS-10ML,2
O20250035,CUST0039,2025-04-11,Open,34.47,PURE-EUCALYPTUS-10ML,3
O20250036,CUST0040,2025-04-11,Open,32.97,PURE-CEDARWOOD-10ML,3
O20250037,CUST0041,2025-04-11,Open,36.75,PURE-ROSEMARY-10ML,3
O20250038,CUST0042,2025-04-11,Open,24.5,PURE-ROSEMARY-10ML,2
O20250039,CUST0043,2025-04-11,Open,24.5,PURE-ROSEMARY-10ML,2
O20250040,CUST0044,2025-04-11,Open,10.99,PURE-CEDARWOOD-10ML,1
O20250041,CUST0045,2025-04-12,Open,44.97,PURE-LAVENDER-15ML,3
O20250042,CUST0046,2025-04-12,Open,11.49,PURE-EUCALYPTUS-10ML,1
O20250043,CUST0047,2025-04-12,Open,12.25,PURE-ROSEMARY-10ML,1
O20250044,CUST0048,2025-04-12,Open,27.5,PURE-PEPPERMINT-15ML,2
O20250045,CUST0049,2025-04-12,Open,36.75,PURE-ROSEMARY-10ML,3
O20250046,CUST0050,2025-04-12,Open,10.99,PURE-CEDARWOOD-10ML,1
O20250047,CUST0051,2025-04-12,Open,32.97,PURE-CEDARWOOD-10ML,3
O20250048,CUST0052,2025-04-12,Open,32.97,PURE-CEDARWOOD-10ML,3
O20250049,CUST0053,2025-04-12,Open,29.98,PURE-LAVENDER-15ML,2
O20250050,CUST0054,2025-04-12,Open,11.49,PURE-EUCALYPTUS-10ML,1
O20250051,CUST0055,2025-04-12,Open,24.5,PURE-ROSEMARY-10ML,2
O20250052,CUST0056,2025-04-12,Open,44.97,PURE-LAVENDER-15ML,3
O20250053,CUST0057,2025-04-12,Open,14.99,PURE-LAVENDER-15ML,1
O20250054,CUST0058,2025-04-12,Open,36.75,PURE-ROSEMARY-10ML,3
O20250055,CUST0059,2025-04-12,Open,29.98,PURE-LAVENDER-15ML,2
O20250056,CUST0060,2025-04-12,Open,14.99,PURE-LAVENDER-15ML,1
O20250057,CUST0061,2025-04-12,Open,34.47,PURE-EUCALYPTUS-10ML,3
O20250058,CUST0062,2025-04-12,Open,32.97,PURE-CEDARWOOD-10ML,3
O20250059,CUST0063,2025-04-12,Open,12.25,PURE-ROSEMARY-10ML,1
O20250060,CUST0064,2025-04-13,Open,11.49,PURE-EUCALYPTUS-10ML,1
O20250061,CUST0065,2025-04-13,Open,24.5,PURE-ROSEMARY-10ML,2
O20250062,CUST0066,2025-04-13,Open,25.98,PURE-LEMONGRASS-10ML,2
O20250063,CUST0067,2025-04-13,Open,22.98,PURE-EUCALYPTUS-10ML,2
O20250064,CUST0068,2025-04-13,Open,32.97,PURE-CEDARWOOD-10ML,3
O20250065,CUST0069,2025-04-13,Open,36.75,PURE-ROSEMARY-10ML,3
O20250066,CUST0070,2025-04-13,Open,12.25,PURE-ROSEMARY-10ML,1
O20250067,CUST0071,2025-04-13,Open,12.99,PURE-LEMONGRASS-10ML,1
O20250068,CUST0072,2025-04-13,Open,14.99,PURE-LAVENDER-15ML,1
O20250069,CUST0073,2025-04-13,Open,14.99,PURE-LAVENDER-15ML,1
O20250070,CUST0074,2025-04-13,Open,12.25,PURE-ROSEMARY-10ML,1
O20250071,CUST0075,2025-04-13,Open,41.25,PURE-PEPPERMINT-15ML,3
O20250072,CUST0076,2025-04-14,Open,27.5,PURE-PEPPERMINT-15ML,2
O20250073,CUST0077,2025-04-14,Open,13.75,PURE-PEPPERMINT-15ML,1
O20250074,CUST0078,2025-04-14,Open,27.5,PURE-PEPPERMINT-15ML,2
O20250075,CUST0079,2025-04-14,Open,44.97,PURE-LAVENDER-15ML,3
O20250076,CUST0080,2025-04-14,Open,24.5,PURE-ROSEMARY-10ML,2
O20250077,CUST0081,2025-04-14,Open,10.99,PURE-CEDARWOOD-10ML,1
O20250078,CUST0082,2025-04-14,Open,12.25,PURE-ROSEMARY-10ML,1
O20250079,CUST0083,2025-04-14,Open,29.98,PURE-LAVENDER-15ML,2
O20250080,CUST0084,2025-04-14,Open,22.98,PURE-EUCALYPTUS-10ML,2
O20250081,CUST0085,2025-04-14,Open,14.99,PURE-LAVENDER-15ML,1
O20250082,CUST0086,2025-04-14,Open,12.25,PURE-ROSEMARY-10ML,1
O20250083,CUST0087,2025-04-14,Open,14.99,PURE-LAVENDER-15ML,1
O20250084,CUST0088,2025-04-15,Open,32.97,PURE-CEDARWOOD-10ML,3
O20250085,CUST0089,2025-04-15,Open,12.99,PURE-LEMONGRASS-10ML,1
O20250086,CUST0090,2025-04-15,Open,12.25,PURE-ROSEMARY-10ML,1
O20250087,CUST0091,2025-04-15,Open,13.75,PURE-PEPPERMINT-15ML,1
O20250088,CUST0092,2025-04-15,Open,12.99,PURE-LEMONGRASS-10ML,1
O20250089,CUST0093,2025-04-15,Open,11.49,PURE-EUCALYPTUS-10ML,1
O20250090,CUST0094,2025-04-15,Open,24.5,PURE-ROSEMARY-10ML,2
O20250091,CUST0095,2025-04-15,Open,27.5,PURE-PEPPERMINT-15ML,2
O20250092,CUST0096,2025-04-15,Open,32.97,PURE-CEDARWOOD-10ML,3
O20250093,CUST0097,2025-04-15,Open,44.97,PURE-LAVENDER-15ML,3
O20250094,CUST0098,2025-04-15,Open,27.5,PURE-PEPPERMINT-15ML,2
O20250095,CUST0099,2025-04-15,Open,24.5,PURE-ROSEMARY-10ML,2
O20250096,CUST0100,2025-04-15,Open,27.5,PURE-PEPPERMINT-15ML,2
O20250097,CUST0101,2025-04-15,Open,12.99,PURE-LEMONGRASS-10ML,1
O20250098,CUST0102,2025-04-15,Open,29.98,PURE-LAVENDER-15ML,2
O20250099,CUST0103,2025-04-15,Open,12.25,PURE-ROSEMARY-10ML,1
O20250100,CUST0104,2025-04-16,Open,14.99,PURE-LAVENDER-15ML,1
O20250101,CUST0105,2025-04-16,Open,21.98,PURE-CEDARWOOD-10ML,2
O20250102,CUST0106,2025-04-16,Open,21.98,PURE-CEDARWOOD-10ML,2
O20250103,CUST0107,2025-04-16,Open,41.25,PURE-PEPPERMINT-15ML,3
O20250104,CUST0108,2025-04-16,Open,25.98,PURE-LEMONGRASS-10ML,2
O20250105,CUST0109,2025-04-16,Open,12.99,PURE-LEMONGRASS-10ML,1
O20250106,CUST0110,2025-04-16,Open,44.97,PURE-LAVENDER-15ML,3
O20250107,CUST0111,2025-04-16,Open,24.5,PURE-ROSEMARY-10ML,2
O20250108,CUST0112,2025-04-16,Open,44.97,PURE-LAVENDER-15ML,3
O20250109,CUST0113,2025-04-16,Open,12.25,PURE-ROSEMARY-10ML,1
O20250110,CUST0114,2025-04-16,Open,12.25,PURE-ROSEMARY-10ML,1
O20250111,CUST0115,2025-04-16,Open,29.98,PURE-LAVENDER-15ML,2
O20250112,CUST0116,2025-04-16,Open,11.49,PURE-EUCALYPTUS-10ML,1
O20250113,CUST0117,2025-04-16,Open,14.99,PURE-LAVENDER-15ML,1
O20250114,CUST0118,2025-04-16,Open,27.5,PURE-PEPPERMINT-15ML,2
O20250115,CUST0119,2025-04-16,Open,13.75,PURE-PEPPERMINT-15ML,1
O20250116,CUST0120,2025-04-16,Open,34.47,PURE-EUCALYPTUS-10ML,3
O20250117,CUST0121,2025-04-16,Open,36.75,PURE-ROSEMARY-10ML,3
O20250118,CUST0122,2025-04-16,Open,22.98,PURE-EUCALYPTUS-10ML,2
O20250119,CUST0123,2025-04-16,Open,27.5,PURE-PEPPERMINT-15ML,2
O20250120,CUST0124,2025-04-16,Open,25.98,PURE-LEMONGRASS-10ML,2
O20250121,CUST0125,2025-04-17,Open,11.49,PURE-EUCALYPTUS-10ML,1
O20250122,CUST0126,2025-04-17,Open,29.98,PURE-LAVENDER-15ML,2
O20250123,CUST0127,2025-04-17,Open,12.25,PURE-ROSEMARY-10ML,1
O20250124,CUST0128,2025-04-17,Open,34.47,PURE-EUCALYPTUS-10ML,3
O20250125,CUST0129,2025-04-17,Open,11.49,PURE-EUCALYPTUS-10ML,1
O20250126,CUST0130,2025-04-17,Open,22.98,PURE-EUCALYPTUS-10ML,2
O20250127,CUST0131,2025-04-17,Open,41.25,PURE-PEPPERMINT-15ML,3
O20250128,CUST0132,2025-04-17,Open,13.75,PURE-PEPPERMINT-15ML,1
O20250129,CUST0133,2025-04-17,Open,25.98,PURE-LEMONGRASS-10ML,2
O20250130,CUST0134,2025-04-17,Open,11.49,PURE-EUCALYPTUS-10ML,1
O20250131,CUST0135,2025-04-17,Open,34.47,PURE-EUCALYPTUS-10ML,3
O20250132,CUST0136,2025-04-17,Open,12.99,PURE-LEMONGRASS-10ML,1
O20250133,CUST0137,2025-04-17,Open,32.97,PURE-CEDARWOOD-10ML,3
O20250134,CUST0138,2025-04-17,Open,12.25,PURE-ROSEMARY-10ML,1
O20250135,CUST0139,2025-04-17,Open,25.98,PURE-LEMONGRASS-10ML,2
O20250136,CUST0140,2025-04-17,Open,10.99,PURE-CEDARWOOD-10ML,1
O20250137,CUST0141,2025-04-17,Open,14.99,PURE-LAVENDER-15ML,1
O20250138,CUST0142,2025-04-17,Open,24.5,PURE-ROSEMARY-10ML,2
O20250139,CUST0143,2025-04-18,Open,38.97,PURE-LEMONGRASS-10ML,3
O20250140,CUST0144,2025-04-18,Open,21.98,PURE-CEDARWOOD-10ML,2
O20250141,CUST0145,2025-04-18,Open,12.99,PURE-LEMONGRASS-10ML,1
O20250142,CUST0146,2025-04-18,Open,13.75,PURE-PEPPERMINT-15ML,1
O20250143,CUST0147,2025-04-18,Open,24.5,PURE-ROSEMARY-10ML,2
O20250144,CUST0148,2025-04-18,Open,34.47,PURE-EUCALYPTUS-10ML,3
O20250145,CUST0149,2025-04-18,Open,25.98,PURE-LEMONGRASS-10ML,2
O20250146,CUST0150,2025-04-18,Open,10.99,PURE-CEDARWOOD-10ML,1
O20250147,CUST0151,2025-04-18,Open,34.47,PURE-EUCALYPTUS-10ML,3
O20250148,CUST0152,2025-04-18,Open,24.5,PURE-ROSEMARY-10ML,2
O20250149,CUST0153,2025-04-18,Open,38.97,PURE-LEMONGRASS-10ML,3
O20250150,CUST0154,2025-04-18,Open,36.75,PURE-ROSEMARY-10ML,3
O20250151,CUST0155,2025-04-18,Open,12.25,PURE-ROSEMARY-10ML,1
O20250152,CUST0156,2025-04-18,Open,41.25,PURE-PEPPERMINT-15ML,3
O20250153,CUST0157,2025-04-18,Open,21.98,PURE-CEDARWOOD-10ML,2
O20250154,CUST0158,2025-04-19,Open,29.98,PURE-LAVENDER-15ML,2
O20250155,CUST0159,2025-04-19,Open,27.5,PURE-PEPPERMINT-15ML,2
O20250156,CUST0160,2025-04-19,Open,22.98,PURE-EUCALYPTUS-10ML,2
O20250157,CUST0161,2025-04-19,Open,13.75,PURE-PEPPERMINT-15ML,1
O20250158,CUST0162,2025-04-19,Open,25.98,PURE-LEMONGRASS-10ML,2
O20250159,CUST0163,2025-04-19,Open,14.99,PURE-LAVENDER-15ML,1
O20250160,CUST0164,2025-04-19,Open,22.98,PURE-EUCALYPTUS-10ML,2
O20250161,CUST0165,2025-04-19,Open,27.5,PURE-PEPPERMINT-15ML,2
O20250162,CUST0166,2025-04-19,Open,27.5,PURE-PEPPERMINT-15ML,2
O20250163,CUST0167,2025-04-19,Open,29.98,PURE-LAVENDER-15ML,2
O20250164,CUST0168,2025-04-19,Open,25.98,PURE-LEMONGRASS-10ML,2
O20250165,CUST0169,2025-04-19,Open,14.99,PURE-LAVENDER-15ML,1
O20250166,CUST0170,2025-04-19,Open,14.99,PURE-LAVENDER-15ML,1
O20250167,CUST0171,2025-04-19,Open,25.98,PURE-LEMONGRASS-10ML,2
O20250168,CUST0172,2025-04-19,Open,11.49,PURE-EUCALYPTUS-10ML,1
O20250169,CUST0173,2025-04-20,Open,12.25,PURE-ROSEMARY-10ML,1
O20250170,CUST0174,2025-04-20,Open,41.25,PURE-PEPPERMINT-15ML,3
O20250171,CUST0175,2025-04-20,Open,29.98,PURE-LAVENDER-15ML,2
O20250172,CUST0176,2025-04-20,Open,11.49,PURE-EUCALYPTUS-10ML,1
O20250173,CUST0177,2025-04-20,Open,44.97,PURE-LAVENDER-15ML,3
O20250174,CUST0178,2025-04-20,Open,14.99,PURE-LAVENDER-15ML,1
O20250175,CUST0179,2025-04-20,Open,10.99,PURE-CEDARWOOD-10ML,1
O20250176,CUST0180,2025-04-20,Open,10.99,PURE-CEDARWOOD-10ML,1
O20250177,CUST0181,2025-04-20,Open,14.99,PURE-LAVENDER-15ML,1
O20250178,CUST0182,2025-04-20,Open,21.98,PURE-CEDARWOOD-10ML,2
O20250179,CUST0183,2025-04-20,Open,13.75,PURE-PEPPERMINT-15ML,1
O20250180,CUST0184,2025-04-20,Open,36.75,PURE-ROSEMARY-10ML,3
O20250181,CUST0185,2025-04-20,Open,38.97,PURE-LEMONGRASS-10ML,3
O20250182,CUST0186,2025-04-20,Open,13.75,PURE-PEPPERMINT-15ML,1
O20250183,CUST0187,2025-04-20,Open,41.25,PURE-PEPPERMINT-15ML,3
O20250184,CUST0188,2025-04-20,Open,21.98,PURE-CEDARWOOD-10ML,2
O20250185,CUST0189,2025-04-21,Open,27.5,PURE-PEPPERMINT-15ML,2
O20250186,CUST0190,2025-04-21,Open,32.97,PURE-CEDARWOOD-10ML,3
O20250187,CUST0191,2025-04-21,Open,44.97,PURE-LAVENDER-15ML,3
O20250188,CUST0192,2025-04-21,Open,12.25,PURE-ROSEMARY-10ML,1
O20250189,CUST0193,2025-04-21,Open,44.97,PURE-LAVENDER-15ML,3
O20250190,CUST0194,2025-04-21,Open,27.5,PURE-PEPPERMINT-15ML,2
O20250191,CUST0195,2025-04-21,Open,34.47,PURE-EUCALYPTUS-10ML,3
O20250192,CUST0196,2025-04-21,Open,32.97,PURE-CEDARWOOD-10ML,3
O20250193,CUST0197,2025-04-21,Open,14.99,PURE-LAVENDER-15ML,1
O20250194,CUST0198,2025-04-21,Open,10.99,PURE-CEDARWOOD-10ML,1
O20250195,CUST0199,2025-04-21,Open,10.99,PURE-CEDARWOOD-10ML,1
O20250196,CUST0200,2025-04-21,Open,25.98,PURE-LEMONGRASS-10ML,2
O20250197,CUST0201,2025-04-21,Open,22.98,PURE-EUCALYPTUS-10ML,2
O20250198,CUST0202,2025-04-22,Open,10.99,PURE-CEDARWOOD-10ML,1
O20250199,CUST0203,2025-04-22,Open,27.5,PURE-PEPPERMINT-15ML,2
O20250200,CUST0204,2025-04-22,Open,10.99,PURE-CEDARWOOD-10ML,1
O20250201,CUST0205,2025-04-22,Open,13.75,PURE-PEPPERMINT-15ML,1
O20250202,CUST0206,2025-04-22,Open,25.98,PURE-LEMONGRASS-10ML,2
O20250203,CUST0207,2025-04-22,Open,21.98,PURE-CEDARWOOD-10ML,2
O20250204,CUST0208,2025-04-22,Open,12.99,PURE-LEMONGRASS-10ML,1
O20250205,CUST0209,2025-04-22,Open,29.98,PURE-LAVENDER-15ML,2
O20250206,CUST0210,2025-04-22,Open,44.97,PURE-LAVENDER-15ML,3
O20250207,CUST0211,2025-04-22,Open,21.98,PURE-CEDARWOOD-10ML,2
O20250208,CUST0212,2025-04-22,Open,29.98,PURE-LAVENDER-15ML,2
O20250209,CUST0213,2025-04-22,Open,11.49,PURE-EUCALYPTUS-10ML,1
O20250210,CUST0214,2025-04-22,Open,25.98,PURE-LEMONGRASS-10ML,2
O20250211,CUST0215,2025-04-22,Open,22.98,PURE-EUCALYPTUS-10ML,2
O20250212,CUST0216,2025-04-23,Open,29.98,PURE-LAVENDER-15ML,2
O20250213,CUST0217,2025-04-23,Open,14.99,PURE-LAVENDER-15ML,1
O20250214,CUST0218,2025-04-23,Open,25.98,PURE-LEMONGRASS-10ML,2
O20250215,CUST0219,2025-04-23,Open,13.75,PURE-PEPPERMINT-15ML,1
O20250216,CUST0220,2025-04-23,Open,22.98,PURE-EUCALYPTUS-10ML,2
O20250217,CUST0221,2025-04-23,Open,13.75,PURE-PEPPERMINT-15ML,1
O20250218,CUST0222,2025-04-23,Open,10.99,PURE-CEDARWOOD-10ML,1
O20250219,CUST0223,2025-04-23,Open,10.99,PURE-CEDARWOOD-10ML,1
O20250220,CUST0224,2025-04-23,Open,21.98,PURE-CEDARWOOD-10ML,2
O20250221,CUST0225,2025-04-23,Open,41.25,PURE-PEPPERMINT-15ML,3
O20250222,CUST0226,2025-04-23,Open,14.99,PURE-LAVENDER-15ML,1
O20250223,CUST0227,2025-04-23,Open,41.25,PURE-PEPPERMINT-15ML,3
O20250224,CUST0228,2025-04-23,Open,32.97,PURE-CEDARWOOD-10ML,3
O20250225,CUST0229,2025-04-24,Open,34.47,PURE-EUCALYPTUS-10ML,3
O20250226,CUST0230,2025-04-24,Open,41.25,PURE-PEPPERMINT-15ML,3
O20250227,CUST0231,2025-04-24,Open,41.25,PURE-PEPPERMINT-15ML,3
O20250228,CUST0232,2025-04-24,Open,29.98,PURE-LAVENDER-15ML,2
O20250229,CUST0233,2025-04-24,Open,14.99,PURE-LAVENDER-15ML,1
O20250230,CUST0234,2025-04-24,Open,32.97,PURE-CEDARWOOD-10ML,3
O20250231,CUST0235,2025-04-24,Open,32.97,PURE-CEDARWOOD-10ML,3
O20250232,CUST0236,2025-04-24,Open,29.98,PURE-LAVENDER-15ML,2
O20250233,CUST0237,2025-04-24,Open,25.98,PURE-LEMONGRASS-10ML,2
O20250234,CUST0238,2025-04-24,Open,12.99,PURE-LEMONGRASS-10ML,1
O20250235,CUST0239,2025-04-24,Open,41.25,PURE-PEPPERMINT-15ML,3
O20250236,CUST0240,2025-04-24,Open,27.5,PURE-PEPPERMINT-15ML,2
O20250237,CUST0241,2025-04-24,Open,27.5,PURE-PEPPERMINT-15ML,2
O20250238,CUST0242,2025-04-24,Open,27.5,PURE-PEPPERMINT-15ML,2
O20250239,CUST0243,2025-04-24,Open,44.97,PURE-LAVENDER-15ML,3
O20250240,CUST0244,2025-04-25,Open,34.47,PURE-EUCALYPTUS-10ML,3
O20250241,CUST0245,2025-04-25,Open,38.97,PURE-LEMONGRASS-10ML,3
O20250242,CUST0246,2025-04-25,Open,11.49,PURE-EUCALYPTUS-10ML,1
O20250243,CUST0247,2025-04-25,Open,27.5,PURE-PEPPERMINT-15ML,2
O20250244,CUST0248,2025-04-25,Open,44.97,PURE-LAVENDER-15ML,3
O20250245,CUST0249,2025-04-25,Open,10.99,PURE-CEDARWOOD-10ML,1
O20250246,CUST0250,2025-04-25,Open,44.97,PURE-LAVENDER-15ML,3
O20250247,CUST0251,2025-04-25,Open,29.98,PURE-LAVENDER-15ML,2
O20250248,CUST0252,2025-04-25,Open,13.75,PURE-PEPPERMINT-15ML,1
O20250249,CUST0253,2025-04-25,Open,12.99,PURE-LEMONGRASS-10ML,1
O20250250,CUST0254,2025-04-25,Open,44.97,PURE-LAVENDER-15ML,3
O20250251,CUST0255,2025-04-25,Open,32.97,PURE-CEDARWOOD-10ML,3
O20250252,CUST0256,2025-04-25,Open,41.25,PURE-PEPPERMINT-15ML,3
O20250253,CUST0257,2025-04-26,Open,44.97,PURE-LAVENDER-15ML,3
O20250254,CUST0258,2025-04-26,Open,13.75,PURE-PEPPERMINT-15ML,1
O20250255,CUST0259,2025-04-26,Open,29.98,PURE-LAVENDER-15ML,2
O20250256,CUST0260,2025-04-26,Open,12.99,PURE-LEMONGRASS-10ML,1
O20250257,CUST0261,2025-04-26,Open,34.47,PURE-EUCALYPTUS-10ML,3
O20250258,CUST0262,2025-04-26,Open,14.99,PURE-LAVENDER-15ML,1
O20250259,CUST0263,2025-04-26,Open,10.99,PURE-CEDARWOOD-10ML,1
O20250260,CUST0264,2025-04-26,Open,11.49,PURE-EUCALYPTUS-10ML,1
O20250261,CUST0265,2025-04-26,Open,41.25,PURE-PEPPERMINT-15ML,3
O20250262,CUST0266,2025-04-26,Open,11.49,PURE-EUCALYPTUS-10ML,1
O20250263,CUST0267,2025-04-26,Open,34.47,PURE-EUCALYPTUS-10ML,3
O20250264,CUST0268,2025-04-26,Open,38.97,PURE-LEMONGRASS-10ML,3
O20250265,CUST0269,2025-04-26,Open,41.25,PURE-PEPPERMINT-15ML,3
O20250266,CUST0270,2025-04-26,Open,13.75,PURE-PEPPERMINT-15ML,1
O20250267,CUST0271,2025-04-26,Open,21.98,PURE-CEDARWOOD-10ML,2
O20250268,CUST0272,2025-04-26,Open,41.25,PURE-PEPPERMINT-15ML,3
O20250269,CUST0273,2025-04-26,Open,14.99,PURE-LAVENDER-15ML,1
O20250270,CUST0274,2025-04-26,Open,32.97,PURE-CEDARWOOD-10ML,3
O20250271,CUST0275,2025-04-26,Open,25.98,PURE-LEMONGRASS-10ML,2
O20250272,CUST0276,2025-04-26,Open,14.99,PURE-LAVENDER-15ML,1
O20250273,CUST0277,2025-04-26,Open,21.98,PURE-CEDARWOOD-10ML,2
O20250274,CUST0278,2025-04-26,Open,25.98,PURE-LEMONGRASS-10ML,2
O20250275,CUST0279,2025-04-27,Open,13.75,PURE-PEPPERMINT-15ML,1
O20250276,CUST0280,2025-04-27,Open,12.99,PURE-LEMONGRASS-10ML,1
O20250277,CUST0281,2025-04-27,Open,38.97,PURE-LEMONGRASS-10ML,3
O20250278,CUST0282,2025-04-27,Open,29.98,PURE-LAVENDER-15ML,2
O20250279,CUST0283,2025-04-27,Open,38.97,PURE-LEMONGRASS-10ML,3
O20250280,CUST0284,2025-04-27,Open,29.98,PURE-LAVENDER-15ML,2
O20250281,CUST0285,2025-04-27,Open,38.97,PURE-LEMONGRASS-10ML,3
O20250282,CUST0286,2025-04-27,Open,41.25,PURE-PEPPERMINT-15ML,3
O20250283,CUST0287,2025-04-27,Open,29.98,PURE-LAVENDER-15ML,2
O20250284,CUST0288,2025-04-27,Open,29.98,PURE-LAVENDER-15ML,2
O20250285,CUST0289,2025-04-28,Open,27.5,PURE-PEPPERMINT-15ML,2
O20250286,CUST0290,2025-04-28,Open,14.99,PURE-LAVENDER-15ML,1
O20250287,CUST0291,2025-04-28,Open,22.98,PURE-EUCALYPTUS-10ML,2
O20250288,CUST0292,2025-04-28,Open,11.49,PURE-EUCALYPTUS-10ML,1
O20250289,CUST0293,2025-04-28,Open,22.98,PURE-EUCALYPTUS-10ML,2
O20250290,CUST0294,2025-04-28,Open,25.98,PURE-LEMONGRASS-10ML,2
O20250291,CUST0295,2025-04-28,Open,12.99,PURE-LEMONGRASS-10ML,1
O20250292,CUST0296,2025-04-28,Open,38.97,PURE-LEMONGRASS-10ML,3
O20250293,CUST0297,2025-04-28,Open,25.98,PURE-LEMONGRASS-10ML,2
O20250294,CUST0298,2025-04-28,Open,11.49,PURE-EUCALYPTUS-10ML,1
O20250295,CUST0299,2025-04-28,Open,29.98,PURE-LAVENDER-15ML,2
O20250296,CUST0300,2025-04-28,Open,13.75,PURE-PEPPERMINT-15ML,1
O20250297,CUST0301,2025-04-28,Open,25.98,PURE-LEMONGRASS-10ML,2
O20250298,CUST0302,2025-04-28,Open,12.99,PURE-LEMONGRASS-10ML,1
O20250299,CUST0303,2025-04-28,Open,14.99,PURE-LAVENDER-15ML,1
O20250001,CUST0304,2025-04-01,Open,21.98,PURE-CEDARWOOD-10ML,2
O20250002,CUST0305,2025-04-01,Open,12.25,PURE-ROSEMARY-10ML,1
O20250003,CUST0306,2025-04-01,Open,32.97,PURE-CEDARWOOD-10ML,3
O20250004,CUST0307,2025-04-01,Open,41.25,PURE-PEPPERMINT-15ML,3
O20250005,CUST0308,2025-04-02,Open,44.97,PURE-LAVENDER-15ML,3
O20250006,CUST0309,2025-04-03,Open,38.97,PURE-LEMONGRASS-10ML,3
O20250007,CUST0310,2025-04-03,Open,41.25,PURE-PEPPERMINT-15ML,3
O20250008,CUST0311,2025-04-03,Open,25.98,PURE-LEMONGRASS-10ML,2
O20250009,CUST0312,2025-04-04,Open,11.49,PURE-EUCALYPTUS-10ML,1
O20250010,CUST0313,2025-04-05,Open,38.97,PURE-LEMONGRASS-10ML,3
O20250011,CUST0314,2025-04-05,Open,25.98,PURE-LEMONGRASS-10ML,2
O20250012,CUST0315,2025-04-06,Open,41.25,PURE-PEPPERMINT-15ML,3
O20250013,CUST0316,2025-04-06,Open,13.75,PURE-PEPPERMINT-15ML,1
O20250014,CUST0317,2025-04-07,Open,36.75,PURE-ROSEMARY-10ML,3
O20250015,CUST0318,2025-04-08,Open,27.5,PURE-PEPPERMINT-15ML,2
O20250016,CUST0319,2025-04-08,Open,44.97,PURE-LAVENDER-15ML,3
